action,assetClass,cleared,customBasketIndicator,deliveryType,effectiveDate,event,executionDateTime,expirationDate,instrumentType,leg1FixedRateDayCount,leg1FloatingRateDayCount,leg1NotionalAmount,leg1NotionalCurrency,leg1NotionalScheduleType,leg1SettlementCurrency,leg1UnderlyingAssetOrContractType,leg2FloatingRateDayCount,leg2NotionalAmount,leg2NotionalCurrency,leg2NotionalScheduleType,leg2ResetFrequencyMultiplier,leg2SettlementCurrency,nonStandardTermIndicator,packageIndicator,platformID,postPricedSwapIndicator,primeBrokerageTransactionIndicator,productName,leg1FixedRate,leg1FixedRatePaymentFrequencyMultiplier,leg1FixedRatePaymentFrequencyPeriod,leg2FloatingRatePaymentFrequencyMultiplier,leg2FloatingRatePaymentFrequencyPeriod,leg2UnderlierCurrency,leg2UnderlierID,leg2UnderlierIDSource,leg2UnderlierTenorMultiplier,leg2UnderlierTenorPeriod,leg2ResetFrequencyPeriod,CurrencyIV,NominalIV,leg1NotionalAmountUSD,MtM_leg1,MtM_leg2,total_delta
CORR,IR,N,False,CASH,2023-06-14,,2023-01-11T13:33:51Z,2023-07-26,Swap,A004,A004,2000000000.0,USD,Constant,USD,OIS,A004,2000000000.0,USD,Constant,1.0,USD,False,False,XXXX,False,False,OIS USD broken,0.04945,1.0,DAIL,1.0,DAIL,USD,USD-Federal Funds-H.15-OIS-COMPOUND,COMPOUND,1.0,MNTH,DAIL,1.0,1.0,2000000000.0,283645.4036192349,228061449.10773888,419103.8835938275
NEWT,IR,Y,False,CASH,2052-04-15,TRAD,2023-02-01T13:42:43Z,2072-04-15,Swap,A001,A001,78000000.0,EUR,Constant,EUR,Fixed-Floating,A004,78000000.0,EUR,Constant,6.0,EUR,,False,,False,,IRS EUR 20Y,0.00907,1.0,YEAR,6.0,MNTH,EUR,EUR-EURIBOR,EURIBOR,20.0,YEAR,MNTH,1.0,1.0,81900000.0,11232.420367735662,15242311.209427817,3926.813630517572
NEWT,IR,Y,False,CASH,2040-12-19,TRAD,2023-02-01T13:42:43Z,2050-12-19,Swap,A001,A001,130000000.0,EUR,Constant,EUR,Fixed-Floating,A004,130000000.0,EUR,Constant,6.0,EUR,,False,,False,,IRS EUR 10Y,0.014995,1.0,YEAR,6.0,MNTH,EUR,EUR-EURIBOR,EURIBOR,10.0,YEAR,MNTH,1.0,1.0,136500000.0,9872.850263163831,22930788.704140782,18719.83286915347
NEWT,IR,Y,False,CASH,2052-04-15,TRAD,2023-02-01T13:42:43Z,2072-04-15,Swap,A001,A001,78000000.0,EUR,Constant,EUR,Fixed-Floating,A004,78000000.0,EUR,Constant,6.0,EUR,,False,,False,,IRS EUR 20Y,0.00907,1.0,YEAR,6.0,MNTH,EUR,EUR-EURIBOR,EURIBOR,20.0,YEAR,MNTH,1.0,1.0,81900000.0,28081.050919339155,15242311.209427817,3926.813630517572
NEWT,IR,N,False,CASH,2023-05-03,TRAD,2023-03-23T18:23:25Z,2023-06-14,Swap,A004,A004,2000000000.0,USD,Constant,USD,OIS,A004,2000000000.0,USD,Constant,1.0,USD,False,False,XXXX,False,False,OIS USD broken,0.04918,1.0,DAIL,1.0,DAIL,USD,USD-Federal Funds-H.15-OIS-COMPOUND,COMPOUND,1.0,MNTH,DAIL,1.0,1.0,2000000000.0,750162.6371960352,229470785.21583545,424169.81340512633
NEWT,IR,N,False,CASH,2023-06-14,TRAD,2023-03-23T19:47:07Z,2023-07-26,Swap,A004,A004,2000000000.0,USD,Constant,USD,OIS,A004,2000000000.0,USD,Constant,1.0,USD,False,False,XXXX,False,False,OIS USD broken,0.04769,1.0,DAIL,1.0,DAIL,USD,USD-Federal Funds-H.15-OIS-COMPOUND,COMPOUND,1.0,MNTH,DAIL,1.0,1.0,2000000000.0,527597.1051062389,228061449.10773888,419103.8835938275
NEWT,IR,N,False,CASH,2023-05-03,TRAD,2023-03-23T19:47:07Z,2023-06-14,Swap,A004,A004,2000000000.0,USD,Constant,USD,OIS,A004,2000000000.0,USD,Constant,1.0,USD,False,False,XXXX,False,False,OIS USD broken,0.04904,1.0,DAIL,1.0,DAIL,USD,USD-Federal Funds-H.15-OIS-COMPOUND,COMPOUND,1.0,MNTH,DAIL,1.0,1.0,2000000000.0,40434.12920894139,229470785.21583545,424169.81340512633
NEWT,IR,N,False,CASH,2023-06-14,TRAD,2023-03-24T14:49:02Z,2023-07-26,Swap,A004,A004,2000000000.0,USD,Constant,USD,OIS,A004,2000000000.0,USD,Constant,1.0,USD,False,False,XXXX,False,False,OIS USD broken,0.0468,1.0,DAIL,1.0,DAIL,USD,USD-Federal Funds-H.15-OIS-COMPOUND,COMPOUND,1.0,MNTH,DAIL,1.0,1.0,2000000000.0,345179.35636492807,228061449.10773888,419103.8835938275
NEWT,IR,N,False,CASH,2032-11-24,TRAD,2023-03-27T04:19:43Z,2034-11-24,Swap,A005,A005,37000000.0,AUD,Constant,AUD,Fixed-Floating,A005,37000000.0,AUD,Constant,6.0,AUD,False,False,TWSF,False,False,IRS AUD 2Y,0.04622,6.0,MNTH,6.0,MNTH,AUD,AUD-BBSW,BBSW,2.0,YEAR,MNTH,1.0,1.0,23680000.0,18614.791508983228,5637149.419602067,6121.532144960947
NEWT,IR,N,False,CASH,2029-11-26,TRAD,2023-03-27T04:19:43Z,2032-11-26,Swap,A005,A005,23000000.0,AUD,Constant,AUD,Fixed-Floating,A005,23000000.0,AUD,Constant,6.0,AUD,False,False,TWSF,False,False,IRS AUD 3Y,0.045,6.0,MNTH,6.0,MNTH,AUD,AUD-BBSW,BBSW,3.0,YEAR,MNTH,1.0,1.0,14720000.0,4581.995805303832,5532105.606829159,7325.056520624086
NEWT,IR,N,False,CASH,2032-11-29,TRAD,2023-03-27T04:19:43Z,2034-11-29,Swap,A005,A005,39000000.0,AUD,Constant,AUD,Fixed-Floating,A005,39000000.0,AUD,Constant,6.0,AUD,False,False,TWSF,False,False,IRS AUD 2Y,0.0461,6.0,MNTH,6.0,MNTH,AUD,AUD-BBSW,BBSW,2.0,YEAR,MNTH,1.0,1.0,24960000.0,20677.07795157542,5937959.907209994,6440.42881023325
NEWT,IR,N,False,CASH,2027-05-11,TRAD,2023-03-27T04:19:43Z,2047-05-11,Swap,A005,A005,5000000.0,AUD,Constant,AUD,Fixed-Floating,A005,5000000.0,AUD,Constant,6.0,AUD,False,False,TWSF,False,False,IRS AUD 20Y,0.04406,6.0,MNTH,6.0,MNTH,AUD,AUD-BBSW,BBSW,20.0,YEAR,MNTH,1.0,1.0,3200000.0,15316.172276800087,5463531.665218924,4985.358787724748
NEWT,IR,N,False,CASH,2023-03-22,TRAD,2023-03-22T16:13:49Z,2023-05-03,Swap,A004,A004,4000000000.0,USD,Constant,USD,OIS,A004,4000000000.0,USD,Constant,1.0,USD,False,False,XXXX,False,False,OIS USD broken,0.04792,1.0,DAIL,1.0,DAIL,USD,USD-Federal Funds-H.15-OIS-COMPOUND,COMPOUND,2.0,MNTH,DAIL,1.0,1.0,4000000000.0,796772.2024140549,231437217.8307979,431262.4431659281
NEWT,IR,N,False,CASH,2023-03-22,TRAD,2023-03-22T16:45:37Z,2023-05-03,Swap,A004,A004,6000000000.0,USD,Constant,USD,OIS,A004,6000000000.0,USD,Constant,1.0,USD,False,False,XXXX,False,False,OIS USD broken,0.04788,1.0,DAIL,1.0,DAIL,USD,USD-Federal Funds-H.15-OIS-COMPOUND,COMPOUND,2.0,MNTH,DAIL,1.0,1.0,6000000000.0,328394.1858050666,347155826.7461968,646893.6647489071
NEWT,IR,N,False,CASH,2023-04-04,TRAD,2023-04-03T15:14:06Z,2026-04-04,Swap,A005,A005,43000000.0,CAD,Constant,CAD,OIS,A005,43000000.0,CAD,Constant,6.0,CAD,False,False,XXXX,False,False,OIS CAD 3y,0.03365,6.0,MNTH,6.0,MNTH,CAD,CAD-CORRA-OIS Compound,OIS Compound,3.0,YEAR,MNTH,1.0,1.0,30960000.0,7081.304382109149,3263628.1730885487,8125.065489409491
NEWT,IR,N,False,CASH,2027-02-08,TRAD,2023-03-27T14:30:09Z,2028-02-08,Swap,A001,A001,150000000.0,EUR,Constant,EUR,Fixed-Floating,A004,150000000.0,EUR,Constant,6.0,EUR,False,False,XXXX,False,False,IRS EUR 1Y,0.0273,1.0,YEAR,6.0,MNTH,EUR,EUR-EURIBOR,EURIBOR,1.0,YEAR,MNTH,1.0,1.0,157500000.0,123.57397028162272,9162913.0912459,23172.802409587428
NEWT,IR,N,False,CASH,2027-02-08,TRAD,2023-03-27T14:30:09Z,2028-02-08,Swap,A001,A001,800000.0,EUR,Constant,EUR,Fixed-Floating,A004,800000.0,EUR,Constant,6.0,EUR,False,False,TWSF,False,False,IRS EUR 1Y,0.0273,1.0,YEAR,6.0,MNTH,EUR,EUR-EURIBOR,EURIBOR,1.0,YEAR,MNTH,1.0,1.0,840000.0,2509.195499817158,48868.869819978136,123.58827951780404
NEWT,IR,N,False,CASH,2023-06-30,TRAD,2023-03-27T15:04:52Z,2048-11-15,Swap,A004,A004,29000000.0,USD,Constant,USD,OIS,A004,29000000.0,USD,Constant,1.0,USD,False,False,XXXX,False,False,OIS USD broken,0.0301388,1.0,YEAR,1.0,YEAR,USD,USD-SOFR-OIS Compound,OIS Compound,25.0,YEAR,YEAR,1.0,1.0,29000000.0,1505501.0962647377,2013871.6168281091,2962.3880965833087
NEWT,IR,N,False,CASH,2023-05-03,TRAD,2023-03-27T19:56:44Z,2023-06-14,Swap,A004,A004,4000000000.0,USD,Constant,USD,OIS,A004,4000000000.0,USD,Constant,1.0,USD,False,False,XXXX,False,False,OIS USD broken,0.04935,1.0,DAIL,1.0,DAIL,USD,USD-Federal Funds-H.15-OIS-COMPOUND,COMPOUND,1.0,MNTH,DAIL,1.0,1.0,4000000000.0,1386738.6425570482,458941570.4316709,848339.6268102527
NEWT,IR,N,False,CASH,2023-06-14,TRAD,2023-03-27T19:56:44Z,2023-07-26,Swap,A004,A004,4000000000.0,USD,Constant,USD,OIS,A004,4000000000.0,USD,Constant,1.0,USD,False,False,XXXX,False,False,OIS USD broken,0.04835,1.0,DAIL,1.0,DAIL,USD,USD-Federal Funds-H.15-OIS-COMPOUND,COMPOUND,1.0,MNTH,DAIL,1.0,1.0,4000000000.0,35021.90920580573,456122898.21547776,838207.767187655
NEWT,IR,N,False,CASH,2058-02-04,TRAD,2023-03-28T15:23:47Z,2063-02-04,Swap,A004,A004,140000000.0,USD,Constant,USD,OIS,A004,140000000.0,USD,Constant,1.0,USD,False,False,XXXX,False,False,OIS USD 5y,0.015,1.0,YEAR,1.0,YEAR,USD,USD-SOFR-OIS Compound,OIS Compound,5.0,YEAR,YEAR,1.0,1.0,140000000.0,3281.621456554658,2419243.0964000984,2821.9907019706443
NEWT,IR,N,False,CASH,2053-02-07,TRAD,2023-03-28T15:23:47Z,2058-02-07,Swap,A004,A004,120000000.0,USD,Constant,USD,OIS,A004,120000000.0,USD,Constant,1.0,USD,False,False,XXXX,False,False,OIS USD 5y,0.02,1.0,YEAR,1.0,YEAR,USD,USD-SOFR-OIS Compound,OIS Compound,5.0,YEAR,YEAR,1.0,1.0,120000000.0,52789.03755629998,2690579.1536246063,2127.1401500497013
NEWT,IR,N,False,CASH,2024-03-28,TRAD,2023-03-28T16:17:57Z,2025-03-28,Swap,A005,A005,190000000.0,CAD,Constant,CAD,OIS,A005,190000000.0,CAD,Constant,6.0,CAD,False,False,XXXX,False,False,OIS CAD 1y,0.03275,6.0,MNTH,6.0,MNTH,CAD,CAD-CORRA-OIS Compound,OIS Compound,1.0,YEAR,MNTH,1.0,1.0,136800000.0,22856.652181367197,14951666.04437849,35643.95092695393
NEWT,IR,N,False,CASH,2026-03-30,TRAD,2023-03-28T16:17:57Z,2027-03-30,Swap,A005,A005,190000000.0,CAD,Constant,CAD,OIS,A005,190000000.0,CAD,Constant,6.0,CAD,False,False,XXXX,False,False,OIS CAD 1y,0.02365,6.0,MNTH,6.0,MNTH,CAD,CAD-CORRA-OIS Compound,OIS Compound,1.0,YEAR,MNTH,1.0,1.0,136800000.0,169.78592871858166,12429225.71490088,30938.344460502267
NEWT,IR,N,False,CASH,2023-03-23,TRAD,2023-03-21T14:18:16Z,2023-05-11,Swap,A005,A005,2000000000.0,GBP,Constant,GBP,OIS,A005,2000000000.0,GBP,Constant,1.0,GBP,False,False,XXXX,False,False,OIS GBP broken,0.040645,1.0,DAIL,1.0,DAIL,GBP,GBP-SONIA-OIS Compound,OIS Compound,2.0,MNTH,DAIL,1.0,1.0,2440000000.0,78444.56738352777,112880027.39843825,215207.3088541478
NEWT,IR,N,False,CASH,2023-03-23,TRAD,2023-03-21T15:19:44Z,2053-03-23,Swap,A004,A004,26000000.0,USD,Constant,USD,OIS,A004,26000000.0,USD,Constant,1.0,USD,False,False,XXXX,False,False,OIS USD 30y,0.0299,1.0,YEAR,1.0,YEAR,USD,USD-SOFR-OIS Compound,OIS Compound,30.0,YEAR,YEAR,1.0,1.0,26000000.0,710.6291133002592,1743565.9850729876,2668.037559912307
NEWT,IR,N,False,CASH,2023-03-23,TRAD,2023-03-21T16:04:22Z,2023-05-11,Swap,A005,A005,2000000000.0,GBP,Constant,GBP,OIS,A005,2000000000.0,GBP,Constant,1.0,GBP,False,False,XXXX,False,False,OIS GBP broken,0.04084,1.0,DAIL,1.0,DAIL,GBP,GBP-SONIA-OIS Compound,OIS Compound,2.0,MNTH,DAIL,1.0,1.0,2440000000.0,9400.877676731609,112880027.39843825,215207.3088541478
NEWT,IR,N,False,CASH,2023-05-11,TRAD,2023-03-21T16:04:22Z,2023-06-22,Swap,A005,A005,2000000000.0,GBP,Constant,GBP,OIS,A005,2000000000.0,GBP,Constant,1.0,GBP,False,False,XXXX,False,False,OIS GBP broken,0.04194,1.0,DAIL,1.0,DAIL,GBP,GBP-SONIA-OIS Compound,OIS Compound,1.0,MNTH,DAIL,1.0,1.0,2440000000.0,13394.379943290489,223658425.87538284,422654.40309637785
NEWT,IR,N,False,CASH,2023-03-16,TRAD,2023-03-16T17:07:45Z,2053-03-16,Swap,A005,A005,18000000.0,CAD,Constant,CAD,Fixed-Floating,A005,18000000.0,CAD,Constant,3.0,CAD,False,False,XXXX,False,False,IRS CAD 10Y,0.03408,6.0,MNTH,3.0,MNTH,CAD,CAD-CDOR,CDOR,30.0,YEAR,MNTH,1.0,1.0,12960000.0,24322151.97635513,24738072.19607933,42644.67765360698
